고유번호,조사제목,조사시작,중간날짜,조사끝,광역,선거구,선거구_2,언론사,조사기관,조사방법,가상번호 사용여부,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,합계,더불어민주당,민주당참여통합당,미래통합당,민생당,정의당,국민의당,자유공화당,친박신당,자유한국당,열린민주당,민중당,바른미래당,대안신당,민주평화당,새로운보수당,박근혜전대통령을지지하는보수세력,민주통합의원모임,안철수의원지지세력,기타,없음,모름/무응답,링크
6656,"전국 국회의원선거 비례대표국회의원선거 정당지지도 정당지지도, 대통령 지지도 등 총선 관련 현안에 대한 여론조사",2020-03-13,2020-03-14,2020-03-14,전국,비례,전국비례,한국경제신문사,입소스,유무선혼합,사용,전화면접,1000,13.9,100.1,37.8,,26.8,1.2,12.3,6.3,,,,,,,,,,,,,3.4,10.6,1.7,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7194&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=1
6656,"전국 국회의원선거 비례대표국회의원선거 대통령선거 정당지지도, 기타 현안",2020-03-13,2020-03-13,2020-03-13,전국,비례,전국비례,뉴스1,엠브레인퍼블릭,무선,사용,전화면접,1005,24,100,34.2,,19.7,0.5,4.7,1.8,0.5,0.4,,1.6,,,,,,,,,2.3,30,4.3,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7183&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2
6653,전국 정당지지도 국회의원선거,2020-03-11,2020-03-11,2020-03-11,전국,비례,전국비례,오마이뉴스,리얼미터,유무선혼합,미사용,ARS,1000,6.9,100.1,36,,32.8,1.5,7.8,5.1,,,,,,,,,,,,,6.6,5.6,4.7,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7175&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2
6641,전국 정기(정례)조사 대통령선거 차기대선주자,2020-03-02,2020-03-04,2020-03-06,전국,비례,전국비례,오마이뉴스,리얼미터,유무선,미사용,ARS/전화면접,2541,5.3,100,36.5,,28.8,3.8,8.9,6.9,1.8,,,,1.3,,,,,,,,2.2,7.1,2.7,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7163&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=1
6640,전국 정기(정례)조사 정당지지도 3월 1주차 주간집계,2020-03-02,2020-03-04,2020-03-06,전국,비례,전국비례,YTN,리얼미터,유무선혼합,미사용,ARS/전화면접,2527,5.3,100,36.6,,28.7,3.8,8.9,7,1.8,,,,1.3,,,,,,,,2.2,7,2.7,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7158&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=1
6639,"전국 국회의원선거 비례대표국회의원선거 대통령선거 정당지지도, 기타 현안",2020-03-05,2020-03-06,2020-03-06,전국,비례,전국비례,서울경제,엠브레인퍼블릭,무선,사용,전화면접,1009,26.1,99.2,31.9,,20.6,0.3,9.1,2.8,1.4,,,,,,,,,,,,4.9,21,7.2,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7159&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=4
6636,전국 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가 및 현안,2020-03-01,2020-03-02,2020-03-02,전국,비례,전국비례,한국일보,한국리서치,유무선혼합,사용,전화면접,1000,21.9,100,21,,17.8,1.7,8.2,1,0.6,,,2.3,0.4,,,,,,,,0.9,0.8,45.3,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7144&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=4
6635,전국 정기(정례)조사 정당지지도 3월 1주차 주중집계 ,2020-03-02,2020-03-03,2020-03-04,전국,비례,전국비례,TBS,리얼미터,유무선혼합,미사용,ARS/전화면접,1516,5.1,100,36.7,,27.7,4,9.1,6.5,1.8,,,,1.4,,,,,,,,2.6,7.1,3.1,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7151&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=2
6630,전국 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가 및 현안,2020-02-26,2020-02-27,2020-02-27,전국,비례,전국비례,중앙일보,한국리서치,유무선혼합,사용,전화면접,1000,22.1,99.8,23,,20.1,1.3,8.5,1.3,0.5,,,,0.1,,,,,,,,1.6,1.6,41.8,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7141&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=5
6628,"전국 정기(정례)조사 국회의원선거 정당지지도 21대 총선 지역구, 비례대표 정당지지도 등",2020-02-29,2020-03-01,2020-03-02,전국,비례,전국비례,쿠키뉴스,조원씨앤아이,유무선혼합,미사용,ARS,1002,3.9,100.1,33.3,,29,1.6,10.4,3.1,,,,,,,,,,9.1,,,3,6.7,3.9,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7138&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=2
6619,전국 정당지지도 국회의원선거 ,2020-02-27,2020-02-28,2020-02-28,전국,비례,전국비례,오마이뉴스,리얼미터,유무선혼합,미사용,ARS/전화면접,1015,5.1,100,35.3,,30,3.9,9.8,4,1.6,,,,1.5,,,,,,,,1.7,9.4,2.8,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7130&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=2
6604,전국 국회의원선거 정당지지도,2020-02-24,2020-02-25,2020-02-25,전국,비례,전국비례,데일리안,알앤써치,무선,미사용,ARS,1054,9.9,99.9,35.2,,30.5,,10,3.4,,,,,,4.3,1.7,,,,,,3.2,9,2.6,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7114&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=7
6601,"전국 국회의원선거 비례대표국회의원선거 대통령선거 정당지지도, 기타 현안",2020-02-24,2020-02-25,2020-02-25,전국,비례,전국비례,뉴스1,엠브레인퍼블릭,무선,사용,전화면접,1008,26.2,100,28.8,,17.8,,10.6,2.5,0.5,,,,,3,0.1,0.7,,,,,2.9,25.8,7.3,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7051&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=7
6591,전국 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가 및 현안,2020-02-18,2020-02-20,2020-02-21,전국,비례,전국비례,KBS,한국리서치,무선/인터넷,미사용,전화면접/인터넷,1268,97.5,100,30.6,,22.3,1.2,13.8,3.6,0.6,,,,0.2,1.7,,,,,,,1.2,,24.8,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7088&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=8
6586,전국 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가 및 현안,2020-02-19,2020-02-20,2020-02-21,전국,비례,전국비례,KBS,한국리서치,유무선혼합,사용,전화면접,2000,19.7,100,26,,21.1,1.1,9,1.8,0.3,,,,0.3,1.8,,,,,,,0.5,2.8,35.3,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7081&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=3&searchWrd=%EB%B9%84%EB%A1%80&pageIndex=4
6575,"전국 국회의원선거 정당지지도 기타 (국정운영 평가, 현안 평가)",2020-02-20,2020-02-21,2020-02-21,전국,비례,전국비례,한국경제신문사,입소스,유무선혼합,사용,전화면접,1002,13.5,100,35.4,,28.6,,12.2,8.8,,,,,,,,,,,2.9,,2.4,8.4,1.3,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7059&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=3
6554,"전국 정기(정례)조사 국회의원선거 정당지지도 21대 총선 지역구, 비례대표 정당지지도 등",2020-02-16,2020-02-17,2020-02-17,전국,비례,전국비례,쿠키뉴스,조원씨앤아이,유무선혼합,미사용,ARS,1003,3,99.9,34.4,,32.6,,9.4,,,,,,,3.3,1.2,1.6,,9,,3.4,1.7,1.7,1.6,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=7032&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=4
6490,"전국 정기(정례)조사 국회의원선거 정당지지도 21대 총선 지역구, 비례대표 정당지지도 등",2020-01-26,2020-01-28,2020-01-30,전국,비례,전국비례,미디어오늘,리서치뷰,유무선혼합,미사용,ARS,1000,4.4,100,32,,,,11,,,,35,,,3,,1,5,,,,3,8,2,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=6948&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=3&searchWrd=%EB%B9%84%EB%A1%80&pageIndex=4
6478,전국 국회의원선거 비례대표국회의원선거 대통령선거 정당지지도 등,2020-01-26,2020-01-27,2020-01-28,전국,비례,전국비례,세계일보,리서치앤리서치,유무선혼합,미사용,전화면접,1007,10.1,100,26.1,,15,,11.7,,0.8,,,,0.3,3.6,0.2,0.2,3.1,,,,3,15.5,20.5,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=6932&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=3&searchWrd=%EB%B9%84%EB%A1%80&pageIndex=4
6470,전국 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가 및 현안,2020-01-17,2020-01-19,2020-01-20,전국,비례,전국비례,KBS,한국리서치,무선/인터넷,미사용,전화면접/인터넷,1314,95.1,100,28,,,,15.2,,0.8,,20.4,,0.6,2.7,0.2,0.2,4,,,,0.7,26.3,0.9,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=6922&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=3&searchWrd=%EB%B9%84%EB%A1%80&pageIndex=4
6467,전국 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가 및 현안,2020-01-18,2020-01-20,2020-01-21,전국,비례,전국비례,KBS,한국리서치,유무선혼합,사용,전화면접,2000,17.2,100,23.8,,,,9.7,,0.6,,18.8,,0.3,1.6,0.5,0.3,2.3,,,,1.2,3,37.9,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=6914&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=6
6437,전국 국회의원선거 정당지지도,2020-01-20,2020-01-21,2020-01-21,전국,비례,전국비례,오마이뉴스,리얼미터,유무선혼합,미사용,ARS/전화면접,1002,4.8,100,36.6,,25.1,,6.6,,2.6,,,,1.5,7.1,2.7,2.4,,,,,2.1,8.7,4.6,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=6895&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=6
6408,전국 정기(정례)조사 비례대표국회의원선거 정당지지도 2020년 1월 3주 ,2020-01-14,2020-01-15,2020-01-16,전국,비례,전국비례,한국갤럽,한국갤럽,유무선혼합,미사용,전화면접,1000,14.8,100.5,34,,,,12,,0.7,,24,,0.2,4,1,0.6,4,,,,1,10,9,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=6834&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=6
6372,전국 전체 국회의원선거비례대표국회의원선거대통령선거 비례대표 정당지지도 등,2020-01-04,2020-01-05,2020-01-05,전국,비례,전국비례,뉴스핌,코리아정보리서치 중부본부,무선,미사용,ARS,1000,2.1,99.9,34.9,,,,13.6,,1.4,,31.8,,,4.4,,2,3.7,,,,2.5,3,2.6,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=6772&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=7
6370,전국 국회의원선거 대통령선거 정당지지도,2020-01-02,2020-01-03,2020-01-03,전국,비례,전국비례,"MBN, 매일경제",메트릭스코퍼레이션,유무선혼합,미사용,전화면접,1000,8.1,100.2,32.5,,,,12.6,,0.5,,21.9,,,2.5,0.6,0.7,1.5,,,,,13.9,9.9,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=6770&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=7
6366,"전국 정기(정례)조사 국회의원선거 정당지지도 21대 총선 지역구, 비례대표 정당지지도 등",2019-12-28,2019-12-30,2020-01-01,전국,비례,전국비례,미디어오늘,리서치뷰,유무선혼합,미사용,ARS,1000,5.2,99,36,,,,13,,1,,34,,,5,,1,,,,,2,6,1,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=6761&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=8
6363,전국 정기(정례)조사 정당지지도 국회의원선거,2019-12-31,2020-01-01,2020-01-01,전국,비례,전국비례,쿠키뉴스,조원씨앤아이,유무선혼합,미사용,ARS,1000,3.1,100,32.8,,,,12.3,,2.7,,28.6,,1.2,3,1.5,2.4,7.6,,,,1,5.2,1.7,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=6760&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=8
6344,전국 국회의원선거 비례대표국회의원선거 대통령선거 정당지지도,2019-12-26,2019-12-28,2019-12-29,전국,비례,전국비례,서울신문,리서치앤리서치,유무선혼합,미사용,전화면접,1010,9.1,99.9,26,,,,14.2,,0.9,,22.5,,,5,0.2,0.7,2.4,,,,1.3,11.7,15,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=6709&menuNo=200467&searchTime=::%20%EB%82%A0%EC%A7%9C%EA%B5%AC%EB%B6%84%20::&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=4&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=8
