조사 시작,중간 날짜,조사 끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리1,민주1,국민1,정의1,무속1,무속2,무속3,무응답,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016-03-18,2016-03-19,2016-03-20,서울,종로구,서울종로구,0.451,0.326,0.014,0.011,0.005,0,0,0.558859975,0.356338684,0.014811701,0.01162778,0.005281849,0,0,0.193,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,16.8,1.05,2
2016-04-05,2016-04-06,2016-04-06,서울,종로구,서울종로구,0.422,0.354,0.039,0.006,0,0,0,0.514007308,0.387729646,0.041194125,0.006322904,0,0,0,0.179,밀워드브라운,조선일보,유선RDD,전화면접,522,7.3,1.4,2
2016-03-30,2016-04-01,2016-04-02,서울,종로구,서울종로구,0.415,0.399,0.064,0.032,0,0,0,0.456043956,0.419538968,0.065871886,0.03287261,0,0,0,0.09,리얼미터,서울경제,유선RDD,전화면접,209,9.6,2.41,2
2016-03-19,2016-03-20,2016-03-20,서울,종로구,서울종로구,0.433,0.339,0.039,0.014,0,0,0,0.524848485,0.369744844,0.041156896,0.014740718,0,0,0,0.175,리서치앤리서치,동아일보,유선RDD,전화면접,508,6.6,2.1,3
2016-04-01,2016-04-02,2016-04-03,서울,종로구,서울종로구,0.426,0.349,0.077,0.029,0,0,0,0.48354143,0.37185359,0.080091948,0.030067799,0,0,0,0.119,조원씨앤아이,"국민일보, CBS",유선/스마트폰앱혼합,ARS,500,1.8,1.58,4
2016-04-05,2016-04-06,2016-04-06,서울,종로구,서울종로구,0.422,0.448,0.045,0.004,0.004,0.007,0,0.453763441,0.46581101,0.045938315,0.004079498,0.004079167,0.007137967,0,0.07,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,509,15,1.56,2
2016-03-26,2016-03-27,2016-03-28,서울,종로구,서울종로구,0.486,0.373,0.036,0.003,0.006,0,0,0.537610619,0.390326345,0.037001369,0.003080277,0.006160047,0,0,0.096,TNS,SBS,유선RDD,전화면접,503,5,2.44,3
2016-04-02,2016-04-04,2016-04-05,서울,종로구,서울종로구,0.454,0.356,0.061,0.02,0.005,0,0,0.506696429,0.375251755,0.063019902,0.020619235,0.00515152,0,0,0.104,TNS,SBS,유선RDD,전화면접,504,7.1,2.5,2
2016-04-05,2016-04-06,2016-04-06,서울,종로구,서울종로구,0.428,0.379,0.041,0.018,0,0,0,0.494226328,0.406553633,0.042718125,0.018720786,0,0,0,0.134,리얼미터,MBN,유선RDD,전화면접,508,10.1,1.95,3
2016-04-01,2016-04-02,2016-04-02,서울,종로구,서울종로구,0.449,0.356,0.046,0.012,0,0,0,0.5202781,0.381042861,0.047950584,0.012483465,0,0,0,0.137,리서치앤리서치,MBC,유선RDD,전화면접,500,4.7,1.85,2
2016-03-20,2016-03-21,2016-03-22,서울,종로구,서울종로구,0.458,0.285,0.039,0.04,0,0,0,0.557177616,0.309386589,0.041245216,0.042202577,0,0,0,0.178,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,8.5,2.41,2
2016-04-03,2016-04-04,2016-04-05,서울,종로구,서울종로구,0.4,0.404,0.048,0.012,0.004,0.007,0,0.457142857,0.433409962,0.049919255,0.012454954,0.004149692,0.007260833,0,0.125,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,8.5,2.29,2
2016-04-02,2016-04-03,2016-04-04,서울,중구성동구갑,서울중구성동구갑,0.362,0.362,0.057,0.032,0,0,0,0.445264453,0.403898647,0.060757026,0.033973157,0,0,0,0.187,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,505,18.4,1.46,3
2016-03-25,2016-03-25,2016-03-25,서울,중구성동구을,서울중구성동구을,0.421,0.192,0.184,0,0,0,0,0.528230866,0.212335154,0.199012289,0,0,0,0,0.203,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,12.1,1.41,2
2016-03-22,2016-03-23,2016-03-23,서울,중구성동구을,서울중구성동구을,0.439,0.138,0.173,0,0,0,0,0.585333333,0.15396058,0.189631869,0,0,0,0,0.25,밀워드브라운,조선일보,유선RDD,전화면접,510,8.4,1.4,3
2016-04-05,2016-04-06,2016-04-06,서울,중구성동구을,서울중구성동구을,0.37,0.205,0.304,0,0,0,0,0.420932878,0.220446018,0.321564191,0,0,0,0,0.121,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,510,12.1,1.7,3
2016-03-23,2016-03-24,2016-03-25,서울,중구성동구을,서울중구성동구을,0.428,0.131,0.169,0,0,0,0,0.587912088,0.147537129,0.186854051,0,0,0,0,0.272,리얼미터,MBN,유선RDD,전화면접,515,13.6,2.39,2
2016-03-27,2016-03-28,2016-03-28,서울,용산구,서울용산구,0.319,0.321,0.068,0.03,0,0,0,0.432249322,0.377092811,0.074944167,0.032812479,0,0,0,0.262,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,20.6,1.08,2
2016-03-26,2016-03-26,2016-03-26,서울,용산구,서울용산구,0.309,0.347,0.053,0.026,0,0,0,0.420408163,0.409967691,0.058281732,0.028425938,0,0,0,0.265,밀워드브라운,조선일보,유선RDD,전화면접,511,9,1.1,2
2016-04-05,2016-04-06,2016-04-06,서울,용산구,서울용산구,0.381,0.3,0.07,0.029,0,0,0,0.488461538,0.338042819,0.075634436,0.031144659,0,0,0,0.22,밀워드브라운,조선일보,유선RDD,전화면접,535,10.1,1.2,2
2016-03-30,2016-04-01,2016-04-02,서울,용산구,서울용산구,0.361,0.322,0.108,0.036,0,0,0,0.436517533,0.356779772,0.115224912,0.038114508,0,0,0,0.173,리얼미터,서울경제,유선RDD,전화면접,282,3.5,2.2,3
2016-04-01,2016-04-02,2016-04-02,서울,용산구,서울용산구,0.4,0.308,0.102,0.023,0,0,0,0.480192077,0.337278441,0.108226197,0.024243786,0,0,0,0.167,포커스컴퍼니,문화일보,유선RDD,전화면접,500,9.4,2,3
2016-04-04,2016-04-05,2016-04-05,서울,용산구,서울용산구,0.384,0.29,0.122,0.014,0,0,0,0.474074074,0.322195704,0.130863408,0.014875684,0,0,0,0.19,리서치앤리서치,동아일보,유선RDD,전화면접,500,5.9,1.6,2
2016-04-03,2016-04-04,2016-04-05,서울,용산구,서울용산구,0.322,0.371,0.076,0.033,0,0,0,0.401496259,0.420875297,0.081600087,0.035219849,0,0,0,0.198,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,500,21.5,1.47,3
2016-04-02,2016-04-04,2016-04-05,서울,용산구,서울용산구,0.389,0.347,0.113,0.029,0,0,0,0.443052392,0.372296668,0.118034273,0.030133523,0,0,0,0.122,TNS,SBS,유선RDD,전화면접,504,7.8,2.44,3
2016-03-31,2016-04-02,2016-04-03,서울,용산구,서울용산구,0.328,0.427,0.031,0.014,0,0,0,0.41,0.484126984,0.033009381,0.014875634,0,0,0,0.2,리얼미터,MBN,유선RDD,전화면접,514,9,2.43,2
2016-04-01,2016-04-02,2016-04-02,서울,용산구,서울용산구,0.362,0.325,0.075,0.026,0,0,0,0.459390863,0.367069521,0.080865988,0.027857351,0,0,0,0.212,리서치앤리서치,MBC,유선RDD,전화면접,500,5.7,1.51,2
2016-04-01,2016-04-02,2016-04-02,서울,용산구,서울용산구,0.352,0.319,0.093,0.022,0,0,0,0.44783715,0.361744796,0.100586,0.023600897,0,0,0,0.214,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,13.4,2.07,2
2016-04-01,2016-04-02,2016-04-02,서울,용산구,서울용산구,0.347,0.331,0.099,0.039,0,0,0,0.425245098,0.370144607,0.106065022,0.041469301,0,0,0,0.184,리얼미터,"CBS,국민일보",유선/스마트폰앱혼합,ARS,511,5.1,2.06,3
2016-03-29,2016-03-29,2016-03-29,서울,광진구을,서울광진구을,0.335,0.337,0.086,0,0,0,0,0.441952507,0.389616768,0.093725893,0,0,0,0,0.242,밀워드브라운,조선일보,유선RDD,전화면접,529,8.2,1.1,3
2016-03-21,2016-03-22,2016-03-22,서울,광진구을,서울광진구을,0.35,0.327,0.108,0,0,0,0,0.445859873,0.371228172,0.116745645,0,0,0,0,0.215,리얼미터,시민일보,유선/스마트폰앱혼합,ARS,800,4.9,1.6,4
2016-04-01,2016-04-02,2016-04-03,서울,광진구을,서울광진구을,0.321,0.45,0.097,0,0,0,0,0.369815668,0.490829308,0.101290147,0,0,0,0,0.132,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,504,10.9,1.51,3
2016-04-04,2016-04-05,2016-04-05,서울,동대문구을,서울동대문구을,0.302,0.484,0,0,0,0,0,0.384223919,0.557459878,0,0,0,0,0,0.214,마크로밀엠브레인,민병두,유무선혼합RDD,전화면접,503,18.3,1.23,4
2016-04-03,2016-04-04,2016-04-04,서울,중랑구을,서울중랑구을,0.347,0.317,0.083,0,0.028,0.021,0,0.435929648,0.358220567,0.089618292,0,0.030018166,0.022465019,0,0.204,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,505,17.2,1.34,3
2016-04-01,2016-04-02,2016-04-03,서울,성북구갑,서울성북구갑,0.417,0.321,0.14,0,0,0,0,0.474943052,0.342969585,0.146151115,0,0,0,0,0.122,리얼미터,정태근 후보,유선/스마트폰앱혼합,ARS,1005,3,2.13,3
2016-04-05,2016-04-06,2016-04-06,서울,성북구갑,서울성북구갑,0.357,0.346,0.109,0,0,0,0,0.439655172,0.386741183,0.116528143,0,0,0,0,0.188,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,501,17.7,1.37,3
2016-04-04,2016-04-05,2016-04-05,서울,성북구갑,서울성북구갑,0.322,0.278,0.145,0,0,0,0,0.432214765,0.325064547,0.160704117,0,0,0,0,0.255,리얼미터,MBN,유선RDD,전화면접,511,9.9,2.16,2
2016-03-22,2016-03-23,2016-03-23,서울,성북구을,서울성북구을,0.32,0.235,0.08,0.039,0,0,0,0.474777448,0.283550187,0.091186003,0.04389353,0,0,0,0.326,밀워드브라운,조선일보,유선RDD,전화면접,513,9.1,1.3,2
2016-04-01,2016-04-02,2016-04-03,서울,성북구을,서울성북구을,0.417,0.249,0.187,0.025,0,0,0,0.474943052,0.266041827,0.196225569,0.025981842,0,0,0,0.122,조원씨앤아이,김인원,유선RDD,ARS,502,1.7,2.4,2
2016-03-31,2016-04-01,2016-04-01,서울,강북구갑,서울강북구갑,0.358,0.246,0.173,0,0,0,0,0.460746461,0.279626018,0.18940794,0,0,0,0,0.223,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,510,16.1,1.41,4
2016-04-02,2016-04-03,2016-04-03,서울,강북구을,서울강북구을,0.28,0.452,0.095,0,0,0,0,0.338573156,0.510403908,0.100638038,0,0,0,0,0.173,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,531,17,1.22,3
2016-03-25,2016-03-26,2016-03-26,서울,도봉구을,서울도봉구을,0.384,0.212,0.097,0,0,0,0,0.554112554,0.245622658,0.10817017,0,0,0,0,0.307,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,16.4,1.09,3
2016-03-20,2016-03-21,2016-03-21,서울,도봉구을,서울도봉구을,0.429,0.224,0.119,0,0,0,0,0.555699482,0.249249059,0.128795052,0,0,0,0,0.228,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,8.5,2.38,3
2016-04-03,2016-04-04,2016-04-04,서울,노원구갑,서울노원구갑,0.45,0.288,0.149,0,0,0,0,0.507328072,0.304978755,0.154997339,0,0,0,0,0.113,우리리서치,이노근,유선/스마트폰앱혼합,ARS,653,1.8,1.02,4
2016-03-24,2016-03-24,2016-03-24,서울,노원구병,서울노원구병,0.32,0.114,0.353,0.052,0,0,0,0.381406436,0.12660949,0.386630714,0.054930739,0,0,0,0.161,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,16.4,1.41,3
2016-04-05,2016-04-06,2016-04-06,서울,노원구병,서울노원구병,0.33,0.107,0.409,0.015,0,0,0,0.383275261,0.117032588,0.442493267,0.015660871,0,0,0,0.139,밀워드브라운,조선일보,유선RDD,전화면접,509,9.7,1.7,3
2016-03-30,2016-04-01,2016-04-02,서울,노원구병,서울노원구병,0.311,0.136,0.428,0.027,0,0,0,0.344789357,0.145331852,0.452851969,0.027835821,0,0,0,0.098,리얼미터,서울경제,유선RDD,전화면접/ARS,508,5.6,2.35,3
2016-04-01,2016-04-02,2016-04-02,서울,노원구병,서울노원구병,0.333,0.123,0.436,0.016,0,0,0,0.366740088,0.130609285,0.459261903,0.01645056,0,0,0,0.092,포커스컴퍼니,문화일보,유선RDD,전화면접,500,8.8,2,3
2016-04-05,2016-04-06,2016-04-06,서울,노원구병,서울노원구병,0.302,0.133,0.43,0.028,0,0,0,0.33818589,0.143136052,0.45777702,0.02895257,0,0,0,0.107,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,504,16.8,1.31,3
2016-03-26,2016-03-27,2016-03-28,서울,노원구병,서울노원구병,0.334,0.13,0.387,0.041,0,0,0,0.374439462,0.139419239,0.410889659,0.042454123,0,0,0,0.108,TNS,SBS,유선RDD,전화면접,502,5.2,2.41,3
2016-04-02,2016-04-04,2016-04-05,서울,노원구병,서울노원구병,0.3,0.104,0.457,0.032,0,0,0,0.335946249,0.111954809,0.487778294,0.033068805,0,0,0,0.107,TNS,SBS,유선RDD,전화면접,504,5.8,2.34,2
2016-03-23,2016-03-24,2016-03-25,서울,노원구병,서울노원구병,0.295,0.145,0.32,0.035,0,0,0,0.371069182,0.166462094,0.358530853,0.037591476,0,0,0,0.205,리얼미터,MBN,유선RDD,전화면접,514,12.3,2.41,4
2016-04-01,2016-04-02,2016-04-02,서울,노원구병,서울노원구병,0.3,0.139,0.393,0.018,0,0,0,0.352941176,0.153941368,0.428159357,0.018886893,0,0,0,0.15,리서치앤리서치,MBC,유선RDD,전화면접,500,7.9,1.74,3
2016-03-20,2016-03-21,2016-03-21,서울,노원구병,서울노원구병,0.341,0.139,0.349,0.046,0,0,0,0.389714286,0.150479431,0.373184714,0.047947711,0,0,0,0.125,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,10.1,2.19,3
2016-04-03,2016-04-04,2016-04-05,서울,노원구병,서울노원구병,0.334,0.121,0.388,0.035,0,0,0,0.380410023,0.130894297,0.41528225,0.036398179,0,0,0,0.122,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,10.6,2.35,3
2016-04-01,2016-04-02,2016-04-02,서울,은평구을,서울은평구을,0,0.192,0.207,0.071,0.306,0.024,0,0,0.24,0.244103774,0.080216583,0.34215927,0.025793149,0,0.2,포커스컴퍼니,문화일보,유선RDD,전화면접,500,8.9,1.96,3
2016-04-04,2016-04-05,2016-04-05,서울,은평구을,서울은평구을,0,0.273,0.249,0.098,0.222,0,0,0,0.324228029,0.278764204,0.106176408,0.238410091,0,0,0.158,조원씨앤아이,국민의당,유선/스마트폰앱혼합,ARS,501,3.4,1.8,2
2016-04-06,2016-04-06,2016-04-06,서울,은평구을,서울은평구을,0,0.2256,0.2969,0.0709,0.2572,0.0407,0,0,0.25311343,0.323134154,0.075022677,0.270973513,0.042266227,0,0.1087,윈스리서치,고연호 국회의원후보사무소,유선/스마트폰앱혼합,ARS,1109,1,2.46,2
2016-03-26,2016-03-27,2016-03-28,서울,은평구을,서울은평구을,0,0.197,0.16,0.063,0.344,0.017,0,0,0.252240717,0.191332468,0.072616352,0.39216154,0.018371406,0,0.219,TNS,SBS,유선RDD,전화면접,503,5.2,2.5,3
2016-03-31,2016-04-02,2016-04-03,서울,은평구을,서울은평구을,0,0.173,0.191,0.062,0.308,0.042,0,0,0.222938144,0.231252184,0.071577802,0.351691263,0.045679016,0,0.224,리얼미터,MBN,유선RDD,전화면접,508,8.7,2.27,3
2016-04-05,2016-04-06,2016-04-06,서울,은평구을,서울은평구을,0,0.182,0.187,0.098,0.275,0.042,0,0,0.232142857,0.224182223,0.112472374,0.310454719,0.045590123,0,0.216,리얼미터,MBN,유선RDD,전화면접,511,12.9,2.27,3
2016-04-01,2016-04-02,2016-04-02,서울,은평구을,서울은평구을,0,0.16,0.196,0.054,0.331,0.028,0,0,0.208062419,0.239883754,0.062721691,0.380605072,0.030458854,0,0.231,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,11,2.27,3
2016-04-01,2016-04-02,2016-04-02,서울,서대문구갑,서울서대문구갑,0.399,0.364,0,0,0,0,0,0.52293578,0.410401754,0,0,0,0,0,0.237,포커스컴퍼니,문화일보,유선RDD,전화면접,500,7.5,2.33,3
2016-03-31,2016-04-01,2016-04-01,서울,서대문구갑,서울서대문구갑,0.383,0.418,0,0,0,0,0,0.47815231,0.466438568,0,0,0,0,0,0.199,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,503,17.4,1.35,3
2016-03-21,2016-03-22,2016-03-23,서울,서대문구갑,서울서대문구갑,0.392,0.337,0,0,0,0,0,0.537722908,0.385264861,0,0,0,0,0,0.271,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,6.1,2.24,3
2016-03-26,2016-03-27,2016-03-28,서울,서대문구을,서울서대문구을,0.389,0.33,0.074,0,0,0,0,0.490542245,0.368903763,0.079276144,0,0,0,0,0.207,코리아리서치센터,한국일보,유선RDD,전화면접,500,9,2.44,3
2016-03-26,2016-03-27,2016-03-27,서울,서대문구을,서울서대문구을,0.365,0.335,0.046,0,0,0,0,0.489276139,0.384935292,0.049988512,0,0,0,0,0.254,윈지코리아컨설팅,김영호 후보,유선RDD,전화면접,503,11,1.7,3
2016-03-29,2016-03-30,2016-03-31,서울,서대문구을,서울서대문구을,0.418,0.319,0.084,0,0,0,0,0.509135201,0.349728856,0.089090256,0,0,0,0,0.179,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,511,15.9,1.24,3
2016-03-26,2016-03-26,2016-03-26,서울,서대문구을,서울서대문구을,0.339,0.243,0.051,0,0,0,0,0.535545024,0.292931659,0.05798903,0,0,0,0,0.367,리얼미터,MBN,유선RDD,전화면접,508,11.9,2.34,3
2016-03-24,2016-03-24,2016-03-24,서울,마포구갑,서울마포구갑,0.275,0.419,0.044,0,0.105,0,0,0.326215896,0.468566933,0.046620895,0,0.110946309,0,0,0.157,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,12.2,1.53,3
2016-04-05,2016-04-06,2016-04-06,서울,마포구갑,서울마포구갑,0.301,0.335,0.104,0,0.087,0,0,0.363966143,0.376418814,0.11166167,0,0.092647157,0,0,0.173,리얼미터,서울경제,유선RDD,전화면접/ARS,514,4.5,2.06,3
2016-03-24,2016-03-25,2016-03-25,서울,마포구갑,서울마포구갑,0.281,0.357,0.03,0,0.103,0,0,0.364461738,0.417806888,0.032777262,0,0.112194827,0,0,0.229,리서치앤리서치,동아일보,유선RDD,전화면접,502,6.5,2.21,3
2016-04-01,2016-04-02,2016-04-03,서울,마포구갑,서울마포구갑,0.313,0.371,0.067,0,0.116,0,0,0.361014994,0.405457837,0.070565474,0,0.121715989,0,0,0.133,조원씨앤아이,"국민일보, CBS",유선/스마트폰앱혼합,ARS,500,1.8,1.49,3
2016-04-03,2016-04-04,2016-04-05,서울,마포구갑,서울마포구갑,0.27,0.474,0.062,0,0.068,0,0,0.308924485,0.519210524,0.064709044,0,0.07077111,0,0,0.126,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,501,12.3,1.44,3
2016-03-22,2016-03-23,2016-03-24,서울,마포구갑,서울마포구갑,0.277,0.324,0.044,0,0.137,0,0,0.354219949,0.377086217,0.048229423,0,0.14947592,0,0,0.218,리얼미터,MBN,유선RDD,전화면접,510,8,2.35,3
2016-03-21,2016-03-22,2016-03-22,서울,마포구갑,서울마포구갑,0.299,0.403,0.038,0,0.146,0,0,0.337471783,0.435924608,0.039690979,0,0.15222805,0,0,0.114,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,7.7,2.29,2
2016-04-02,2016-04-03,2016-04-03,서울,마포구을,서울마포구을,0.307,0.299,0.087,0.051,0.039,0,0,0.392081737,0.344437611,0.095236078,0.05532921,0.042112782,0,0,0.217,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,17.1,1.55,2
2016-04-01,2016-04-02,2016-04-02,서울,마포구을,서울마포구을,0.299,0.229,0.103,0.039,0.068,0,0,0.405149051,0.271279106,0.11619667,0.043351405,0.075223217,0,0,0.262,밀워드브라운,조선일보,유선RDD,전화면접,518,12.7,1.5,3
2016-03-31,2016-04-01,2016-04-02,서울,마포구을,서울마포구을,0.357,0.262,0.109,0.042,0.11,0,0,0.405681818,0.282120307,0.114881699,0.043993623,0.114981283,0,0,0.12,리얼미터,서울경제,유선RDD,전화면접/ARS,515,4.2,2.48,3
2016-04-05,2016-04-06,2016-04-06,서울,마포구을,서울마포구을,0.324,0.3,0.099,0.043,0.055,0,0,0.394640682,0.336458403,0.106669645,0.045951525,0.058590405,0,0,0.179,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,502,20.2,1.49,3
2016-03-31,2016-04-01,2016-04-01,서울,양천구갑,서울양천구갑,0.354,0.319,0,0,0.054,0,0,0.4869326,0.370959306,0,0,0.059217545,0,0,0.273,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,507,12.5,1.27,4
2016-04-05,2016-04-06,2016-04-06,서울,양천구을,서울양천구을,0.413,0.258,0.113,0,0,0,0,0.526785714,0.287373697,0.121877639,0,0,0,0,0.216,밀워드브라운,조선일보,유선RDD,전화면접,510,8.2,1.4,2
2016-04-03,2016-04-04,2016-04-04,서울,강서구갑,서울강서구갑,0.323,0.29,0.105,0,0.084,0,0,0.402743142,0.328893967,0.114051453,0,0.090352838,0,0,0.198,한국리서치,한겨레신문,유선RDD,전화면접,500,6.5,2.02,3
2016-04-04,2016-04-05,2016-04-05,서울,강서구갑,서울강서구갑,0.311,0.27,0.086,0,0.092,0,0,0.409749671,0.314777154,0.095288027,0,0.100897677,0,0,0.241,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,14.6,1.58,3
2016-03-26,2016-03-26,2016-03-26,서울,강서구갑,서울강서구갑,0.285,0.247,0.066,0,0.089,0,0,0.414847162,0.302382149,0.075668175,0,0.100918759,0,0,0.313,밀워드브라운,조선일보,유선RDD,전화면접,515,8.7,1.1,3
2016-03-30,2016-04-01,2016-04-02,서울,강서구갑,서울강서구갑,0.365,0.188,0.117,0,0.063,0,0,0.497953615,0.217101698,0.130718178,0,0.069324205,0,0,0.267,리얼미터,서울경제,유선RDD,전화면접,507,3.5,2.49,3
2016-04-01,2016-04-02,2016-04-02,서울,강서구갑,서울강서구갑,0.367,0.265,0.089,0,0.066,0,0,0.466327827,0.298986438,0.096706096,0,0.071119129,0,0,0.213,포커스컴퍼니,문화일보,유선RDD,전화면접,500,6.2,2.11,3
2016-04-01,2016-04-02,2016-04-03,서울,강서구갑,서울강서구갑,0.318,0.269,0.116,0,0.082,0,0,0.405095541,0.308452443,0.127256055,0,0.088859602,0,0,0.215,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,504,13,1.38,3
2016-04-02,2016-04-02,2016-04-02,서울,강서구을,서울강서구을,0.439,0.288,0.099,0,0.014,0,0,0.522619048,0.311816869,0.104492555,0,0.014691554,0,0,0.16,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,18.9,1.68,3
2016-04-03,2016-04-04,2016-04-04,서울,강서구을,서울강서구을,0.455,0.303,0.079,0,0.022,0,0,0.529685681,0.324520346,0.082704671,0,0.0229427,0,0,0.141,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,505,14.3,1.51,3
2016-04-04,2016-04-05,2016-04-05,서울,강서구병,서울강서구병,0.304,0.278,0.169,0.053,0,0,0,0.378109453,0.316589235,0.184357196,0.056863543,0,0,0,0.196,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,5.8,2.24,3
2016-03-25,2016-03-25,2016-03-25,서울,구로구갑,서울구로구갑,0.347,0.359,0.051,0.044,0,0,0,0.433208489,0.404639951,0.05467126,0.046982461,0,0,0,0.199,코리아리서치센터,한국일보,유선RDD,전화면접,500,9.2,2.17,3
